objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Legacy of Dragonholt","234669","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","130517843","6.44826","7.17687","1.2844","1472","7759","thing","Legacy of Dragonholt","1","6","999","999","60","2017","1,2,3","1","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Legendary Encounters: An Alien Deck Building Game","146652","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","47363369","7.36247","7.75136","2.7078","201","19386","thing","Legendary Encounters: An Alien Deck Building Game","1","5","60","60","30","2014","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Legendary Inventors","200785","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","112693990","5.82603","6.30742","2.0213","4585","2687","thing","Legendary Inventors","2","5","40","40","30","2016","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Linkee!","147194","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","57627941","5.74938","6.41185","1.1538","5540","2605","thing","Linkee!","2","30","30","30","30","2012","4,5,6,7,8,9,10","4","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Listography: The Game","199766","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","39270064","5.59558","6.95047","1","9807","528","thing","Listography: The Game","3","6","45","45","15","2016","4,5,6","5,6","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Little Devils","111173","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","149779303","5.67129","6.15436","1.3488","7040","1686","thing","Little Devils","3","6","15","15","15","2012","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"A Little Wordy","335869","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","130517990","5.93886","6.66557","1.2593","3625","5989","thing","A Little Wordy","2","2","15","15","5","2021","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Livestock Uprising","153213","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","130517862","5.50879","6.50119","2.5","23639","212","thing","Livestock Uprising","2","4","90","90","90","2014","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Llamas Unleashed","268936","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","130517998","5.60002","6.08757","1.5833","9540","3799","thing","Llamas Unleashed","2","8","45","45","30","2019","2,3,4,5,6,7,8","4,5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Loaded Questions","2838","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","32084001","5.59666","5.94832","1.2857","9748","2943","thing","Loaded Questions","3","6","45","45","45","1997","4,5,6","","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Loch Ness","85243","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","50054418","5.53261","5.75235","1.5","16327","727","thing","Loch Ness","2","5","45","45","30","2010","3,4,5","3","6–12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Logan Stones","38334","0","0","0","0","0","0","0","0","1","0","0","3","","I was surprised to find that I like this game.","","","","32084005","5.51635","5.76098","1.6471","20966","367","thing","Logan Stones","2","2","10","10","10","2008","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Long Cow","246757","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","80013631","5.50978","5.80649","1","23293","452","thing","Long Cow","2","5","20","20","20","2018","3,4,5","5","5+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Long Shot: The Dice Game","295374","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137262976","7.11942","7.5051","1.9567","375","19513","thing","Long Shot: The Dice Game","1","8","25","25","25","2022","1,2,3,4,5,6,7,8","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Loot","770","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","54335685","6.07805","6.30035","1.3769","2800","13924","thing","Loot","2","8","20","20","20","1992","3,4,5,6,8","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings Board Game","27634","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","54336757","0","6.88462","0","0","78","thing","The Lord of the Rings Board Game","2","2","90","90","90","1996","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: The Fellowship of the Ring Deck-Building Game","127127","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","40604180","6.00137","6.84432","2.1467","3204","3016","thing","The Lord of the Rings: The Fellowship of the Ring Deck-Building Game","2","5","30","30","30","2013","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Waterdeep","110327","0","0","0","1","0","0","0","0","0","0","0","4","","","","","","33171390","7.5796","7.72868","2.4483","108","75349","thing","Lords of Waterdeep","2","5","120","120","60","2012","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Cities","50","0","0","0","1","0","0","0","0","0","0","0","3","","Fun, quick game.","","","","33170392","7.154","7.2604","1.4751","348","77510","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Cities: Roll & Write","327831","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","87070125","6.08116","7.04539","1.2778","2786","3705","thing","Lost Cities: Roll & Write","2","5","30","30","30","2021","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lost Expedition","216459","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","45815826","6.63986","7.02648","1.8833","1038","14972","thing","The Lost Expedition","1","5","50","50","30","2017","1,2,3","1","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
