ver_id,id
22507,3218
30417,5657
23944,133
251702,8820
251702,3
25348,9235
293295,5530
67911,1391
279379,8291
151511,14078
70227,9074
304670,29907
582423,3
224419,18852
30413,2366
549135,47848
549135,17
453937,23043
439604,17
447903,17
440176,157
441835,6194
440823,157
498128,8291
440243,7466
454109,15605
482134,18852
440193,17
403879,35928
404126,21053
448025,4932
260845,9459
356944,9459
356944,28072
337458,30034
328528,24844
373692,6214
443144,4785
440292,38809
324940,29907
356122,32591
468044,34522
468044,36818
298634,30490
478334,9459
478334,44209
310025,32651
335024,4304
293790,2862
276772,1015
276772,105
487926,1015
264907,1015
264907,39
346140,1015
346140,39
298248,155
390702,1015
390702,39
342583,6194
291636,17786
364249,3475
295223,5812
333715,32591
291526,39751
259820,17
259820,8759
571501,47848
571501,17
401225,23043
401225,17
215661,17
242439,2973
242439,17
229503,17
229503,264
348617,6194
348617,17
265952,17
265952,5530
241388,3475
303927,17
303927,8291
225993,17
225993,4617
246796,15605
246384,17
246384,18852
450923,17
450923,18852
235356,2973
235356,17
355352,4304
548934,21608
548934,10768
334059,10768
332625,21608
332625,10768
344275,35491
344275,10768
551713,10768
551713,12540
339937,10768
339937,264
318060,10768
355353,22609
440294,38809
366947,4304
366947,46179
376145,32591
390813,21608
390813,34522
355210,29351
355961,9234
403799,12540
349209,23043
321084,21608
408614,2973
369820,157
420676,6194
398416,15889
465232,3475
393142,2726
408690,15605
388686,21608
388686,18852
387769,2973
587912,47848
587912,42733
583836,7992
583836,396
583836,42733
584006,4932
484354,396
484354,42733
546711,42733
587899,396
587899,42733
587899,33626
588795,396
588795,37
589553,8820
561366,44898
576096,396
576096,48941
576096,42733
558066,33626
558066,396
558066,42733
577831,40510
577831,396
577831,42733
597481,46500
517680,42760
531260,7992
459030,35566
508401,33626
503878,40058
523478,8820
555051,3475
535365,39249
598440,30677
545881,32591
557551,33626
473392,29194
579366,8147
479482,30677
517451,45134
