ver_id,id,type
154731,11507,artist
29502,11507,artist
212306,11507,artist
70909,11507,artist
164824,11507,artist
41351,11507,artist
129767,11507,artist
22673,11507,artist
64715,11507,artist
219203,11507,artist
64718,11507,artist
113858,11507,artist
24269,11507,artist
202718,11507,artist
90394,11507,artist
24739,11507,artist
27747,11507,artist
310376,11507,artist
213788,11507,artist
81718,11507,artist
27305,11507,artist
189116,11507,artist
191327,11507,artist
21333,11507,artist
25707,11507,artist
297589,11507,artist
174151,11507,artist
549588,83351,artist
403168,83351,artist
474135,112087,artist
474135,83351,artist
474135,87749,artist
517882,83351,artist
455290,83351,artist
479925,61842,artist
479925,97761,artist
543809,61842,artist
543809,97761,artist
450310,61842,artist
450310,97761,artist
527636,61842,artist
527636,97761,artist
522115,61842,artist
522115,97761,artist
481465,61842,artist
481465,97761,artist
468850,61842,artist
468850,97761,artist
490010,61842,artist
490010,97761,artist
499196,61842,artist
499196,97761,artist
487925,61842,artist
487925,97761,artist
527144,61842,artist
527144,97761,artist
519028,61842,artist
519028,97761,artist
397089,11961,artist
469383,11961,artist
489707,11961,artist
428145,11961,artist
461079,11961,artist
463625,11961,artist
436167,11961,artist
424174,11961,artist
463910,69038,artist
417451,11961,artist
368726,80022,artist
368726,14057,artist
375993,80022,artist
375993,14057,artist
344725,80022,artist
344725,14057,artist
368911,80022,artist
368911,14057,artist
354037,80022,artist
354037,14057,artist
376229,80022,artist
376229,14057,artist
434610,80022,artist
434610,14057,artist
434609,80022,artist
434609,14057,artist
351787,80022,artist
351787,14057,artist
368892,80022,artist
368892,14057,artist
368893,80022,artist
368893,14057,artist
457858,80022,artist
457858,14057,artist
383676,80022,artist
383676,14057,artist
428178,80022,artist
428178,14057,artist
385066,59605,artist
385066,29340,artist
385066,14596,artist
385066,43532,artist
385066,6651,artist
385066,59607,artist
385066,29809,artist
319775,59605,artist
319775,29340,artist
319775,14596,artist
319775,43532,artist
319775,6651,artist
319775,59607,artist
319775,29809,artist
320450,6651,artist
320224,6651,artist
413850,35585,artist
530270,35585,artist
589344,35585,artist
493119,35585,artist
486738,36965,artist
486738,35585,artist
550735,35585,artist
493120,35585,artist
510106,120549,artist
510588,120549,artist
485581,120549,artist
479713,120549,artist
529059,120549,artist
583234,120549,artist
463618,120549,artist
519378,120549,artist
583363,120549,artist
496550,120549,artist
517079,120549,artist
579011,120549,artist
486785,76972,artist
486785,85502,artist
486785,91323,artist
486785,29978,artist
486785,77167,artist
342655,91323,artist
342652,91323,artist
342654,91323,artist
342653,91323,artist
286896,91323,artist
392433,91323,artist
250967,11961,artist
261341,11961,artist
192836,11961,artist
513820,11961,artist
183846,11961,artist
182429,11961,artist
560716,11961,artist
185724,11961,artist
569405,11961,artist
251272,11961,artist
183538,11961,artist
168683,11961,artist
511473,11961,artist
209563,11961,artist
340167,11961,artist
245254,11961,artist
33614,11827,artist
33611,11827,artist
20573,11827,artist
20573,4959,artist
434598,11827,artist
434598,4959,artist
434595,11827,artist
26899,11827,artist
232973,11827,artist
23758,11827,artist
24892,11827,artist
282032,11827,artist
23948,11827,artist
439463,11827,artist
257801,11827,artist
434594,11827,artist
352880,11827,artist
310221,26239,artist
310221,11827,artist
