bg_id,id,type
7854,12605,artist
194655,3302,designer
194655,70571,artist
194655,70568,artist
188834,87375,designer
188834,87376,designer
188834,20341,designer
188834,75735,artist
283355,34,designer
283355,35,designer
283355,36,designer
283355,53050,artist
169426,62238,designer
169426,29142,artist
169426,12130,artist
169426,14650,artist
232832,61330,designer
232832,75800,artist
232832,14057,artist
156129,73872,designer
156129,102429,artist
156129,17988,artist
156129,78064,artist
156129,61129,artist
9216,381,designer
9216,11901,artist
555,7,designer
555,8,designer
555,62130,designer
555,12886,artist
555,12011,artist
555,7,artist
555,81856,artist
555,8,artist
555,11883,artist
318977,70631,designer
318977,130170,artist
318977,130615,artist
318977,70631,artist
192291,8347,designer
192291,79989,artist
158600,74989,designer
158600,92066,artist
158600,127311,artist
